name,inducted,category,inducted_by,description
Gil Scott-Heron,2021,Musical Influence,Common,"Scott-Heron’s fusion of jazz, blues, soul and funk challenged the status quo with biting satire, unapologetic social commentary, and confrontational poetry."
Jay-Z,2021,Performer,Dave Chappelle,"JAY-Z created the template for the sophisticated hip-hop mogul , rising from sharply poetic rapper embodying both struggle and triumph, to wildly successful businessman behind Roc-A-Fella Records and Roc Nation Management. His conversational, fluid raps – often not written down –  elevated hip-hop storytelling, celebrating and empowering the culture. A beloved icon, his influence extends to fashion, sports management, social justice reform and tirelessly cultivating artists for the future."
Kraftwerk,2021,Musical Influence,Pharrell Williams,Kraftwerk established the blueprint for modern electronic music – without them it simply would not exist.
LL Cool J,2021,Musical Excellence,Dr. Dre,"As one of rap’s first breakouts , LL COOL J created the template for the hip-hop superstar. With mainstream success, he still retained the rawness of his renowned battle rhymes, while also making room for intimate recitations over hooky instrumental tracks, pioneering the rap ballad. His crossover success as a film and TV actor helped bring hip-hop culture to a global audience."
Randy Rhoads,2021,Musical Excellence,Tom Morello,"One of the greatest guitarists ever, Randy Rhoads gave us some of heavy metal’s most recognizable guitar riffs and influenced generations of guitar gods."
The Go-Go’s,2021,Performer,Drew Barrymore,"The Go-Go’s catchy, well-crafted songs formed a bridge between the brash urgency of L.A. punk and the dark melodies of new wave pop."
Tina Turner,2021,Performer,Angela Bassett,Turner worked hard to reimagine the role of a Black woman in rock and roll — one not related to the edges.
Todd Rundgren,2021,Performer,Patti Smith,"A true jack of all trades, Todd Rundgren continues to redefine the sound of rock & roll through genre-melding songwriting and production."
Allen Grubman,2022,Ahmet Ertegun Award,John Mellencamp,"Allen Grubman, a founder of the Rock & Roll Hall of Fame, changed the music business. He has represented rock & roll’s biggest stars, including Bruce Springsteen, U2, Sting, John Mellencamp, Madonna, Lionel Richie, Elton John, Lady Gaga, and many more. Grubman is recognized for negotiating ground-breaking long-term agreements for his clients that allow them to maintain creative control of their work. “What challenges me is being able to do something unique,” Grubman has said. “I love structuring deals that are innovative, that are truly different from anything that has been done before.”"
Carly Simon,2022,Performer,Sara Bareilles,"In the early 1970s, singer-songwriter Carly Simon emerged as a gifted storyteller and lyricist who broke established narratives, writing exquisite songs about modern women’s lives. Her confessional balladry, gorgeous melodies, and catchy choruses made her a captivating voice among a new generation of singer-songwriters."
Dolly Parton,2022,Performer,P!NK,"With her prodigious songwriting talent, vocal and instrumental prowess, charisma, and trademark style, Dolly Parton has achieved immense global success as a musician and blazed a trail for generations of artists to come. In a career spanning six decades, she has recorded more than 50 studio albums and, by her own estimation, written nearly 3,000 songs."
Duran Duran,2022,Performer,Robert Downey Jr,Duran Duran are a band of delicious dichotomies: infectious pop melodies concealing complicated musical arrangements; pioneering synthesizers combined with distorted glam rock guitars. They were new-wave outsiders who became music video stars – Tiger Beat fashion pinups who rocked arenas.
Elizabeth Cotten,2022,Musical Influence,N/A,"Elizabeth “Libba” Cotten’s warm and intimate recordings and live performances inspired generations of artists, and her guitar prowess and musical inventiveness influenced countless other musicians. Cotten’s compositions have been performed by Joan Baez, Bob Dylan, the Grateful Dead, Taj Mahal, and Peter, Paul and Mary, among many others."
Eminem,2022,Performer,Dr. Dre,"Unbridled controversy. Unparalleled talent. Unmatched superstardom. As the single best-selling artist of the 2000s, a 15-time Grammy winner, and the first artist to have ten consecutive No. 1  debut albums on the Billboard 200, Eminem’s accolades speak for themselves. His world-renowned status solidified hip-hop as the most commercially successful music on the planet."
Eurythmics,2022,Performer,The Edge,"Much like the moment in The Wizard of Oz when the film turns from black-and-white to Technicolor, the opening strains of Eurythmics’ “Sweet Dreams (Are Made of This)” irrevocably changed perceptions of 1980s pop-rock. Employing the mechanistic funk of Krautrock, the grit of gospel, and the strangeness of psychedelia, Eurythmics’ genre- and gender-fluid pop vision was both futuristic and beholden to past eras, while remaining eminently accessible. Eurythmics’ lyrics and imagery presaged the third wave of feminism and a more mainstream deconstruction of sexuality and gender, with their videos and live performances featuring androgynous frontwoman Annie Lennox, at once formidable and alluring. The stories the band told, through song and theatrics, spoke to what it meant to live and love in the late 20th century."
Harry Belafonte,2022,Musical Influence,N/A,"Drawing from several musical traditions, Harry Belafonte’s lyrical baritone and emotive singing connected Americans to Black world culture. Singer, actor, producer, activist, and ally, Belafonte used the arts as a mechanism to effect social change on a global scale."
Jimmy Iovine,2022,Ahmet Ertegun Award,Bruce Springsteen,"Jimmy Iovine has crafted one of the more unique success stories in the business of rock & roll, playing the roles of engineer, producer, label founder, entrepreneur, and digital music innovator. He developed a “magic ear” for production, proven in his work with rock & roll icons such as Patti Smith, Bruce Springsteen, Tom Petty and the Heartbreakers, Stevie Nicks and U2. After founding Interscope Records and elevating the careers of artists like Nine Inch Nails, Tupac, No Doubt, and Lady Gaga, Iovine expanded his empire in co-founding the premier audio brand – Beats headphones."
Jimmy Jam and Terry Lewis,2022,Musical Excellence,Janet Jackson,"Jimmy Jam and Terry Lewis changed the sound of pop and R&B by creating sleek, groove-heavy productions that blended funk precision, emotional depth and chart-dominating hooks."
Judas Priest,2022,Musical Excellence,Alice Cooper,"Judas Priest took the molten steel forged by Black Sabbath and Deep Purple and used it to become metal gods, creating the mold for the future of all heavy metal. If you’ve seen Judas Priest live, you know the powerful force of their dual guitar attack, driving riffs, soaring operatic vocals – the unapologetic sound of heavy metal played at its absolute best."
Lionel Richie,2022,Performer,Lenny Kravitz,"Lionel Richie spent a decade as rock & roll’s King Midas – everything he touched turned to gold. With his finger firmly on the pulse of popular music, he crafted enduring love songs and joyous anthems that resonated deeply with listeners. Richie’s effortlessly smooth voice dominated the late 1970s and 1980s, his popularity rivaled only by Michael Jackson, Madonna, and Whitney Houston. His record six Grammy nominations for Song of the Year is an achievement only matched by Paul McCartney."
Pat Benatar & Neil Giraldo,2022,Performer,Sheryl Crow,"Pat Benatar and Neil Giraldo are among the most formidable power couples in rock history. Together, they created a sound that deeply impacted the sonic landscape of the 1980s."
Sylvia Robinson,2022,Ahmet Ertegun Award,N/A,"Artist, songwriter, producer, record label owner, and CEO: the original hip-hop mogul. Sylvia Robinson laid the foundation for rap to flourish into the most lucrative music genre today."
Al Kooper,2023,Musical Excellence,Various Artists,"Composer, multi-instrumentalist, singer, arranger, producer, writer, teacher, podcaster. Al Kooper may not be a household name, but with tens of millions of albums and records sold and career highlights that feature some of the biggest names in rock & roll, his influence on American rock music is undeniable."
Bernie Taupin,2023,Musical Excellence,Elton John,"Bernie Taupin’s songwriting partnership with Elton John is one of the most successful in rock & roll history. Taupin’s narrative songwriting and introspective lyrics served as a precursor to the singer-songwriter movement of the 1970s, and his rich, resonant words left listeners with remarkable images for Elton John and other musicians to melodize."
Chaka Khan,2023,Musical Excellence,Jazmine Sullivan,"Chaka Khan, the ”Queen of Funk,” reshaped the landscape of soul and R&B. With a distinctively powerful voice, capable of fire, emotional nuance and breathtaking drama, she left an indelible impression on listeners, repeatedly crossing over to the pop charts and leaving concertgoers stunned. Her synthesis of jazz, funk and dance grooves – both synthetic and organic – combined with outspoken individuality, set the stage for many a diva to follow."
DJ Kool Herc,2023,Musical Influence,LL COOL J,"DJ Kool Herc is one of hip-hop’s founding fathers. Inventing “the break” with two turntables and a mixer, and rapping over the loops, he created the blueprint for hip-hop and set the stage for future artists and DJs to build upon. Herc was instrumental in developing the culture and community of hip-hop and helping to make a space for young people to express themselves creatively through music and dance."
Don Cornelius,2023,Ahmet Ertegun Award,Various Artists,"As creator, producer, and host of Soul Train, Don Cornelius engineered the “hippest trip in America” for over two decades. He created a vehicle for soul, R&B, dance, and hip hop to find their way into our living rooms. In the process, he became a visionary entrepreneur who opened the door – and held it open – for many others to follow him through."
George Michael,2023,Performer,Andrew Ridgeley,"George Michael combined a keen sense of melody with an embrace of rhythm that encompassed rock, R&B and electronica. His songwriting themes resonated across multiple demographics, from the MTV generation to the LGBTQ community. Beginning with pop duo Wham!, he focused tireless ambition on creating a compelling persona, shapeshifting with the music, incorporating dance and extravagant video, and earning a reputation as a dependably riveting performer."
Kate Bush,2023,Performer,Big Boi,"Kate Bush redefined the role of modern musical artist as both creative force and incorruptible independent entity. Fusing songcraft with dance, theater and film, she presented work as an immersive, often intentionally overwhelming experience. Employing cutting-edge technology, she produced previously unheard sonic textures, all wrapped in bewitching melodies and body-shaking rhythms. Across decades, she inspired artists to take joy in risk and to stay true to a singular vision."
Link Wray,2023,Musical Influence,Jimmy Page,"Link Wray was the original punk, the inventor of the power chord, and the architect of a sound that laid the foundation for metal, punk and every genre that relies on raw, untamed noise to convey its message. Every young rebel who has donned a leather jacket and slashed away at an electric guitar with loud, distorted abandon owes a significant debt to Wray."
Missy Elliott,2023,Performer,Queen Latifah,"In-demand songwriter, groundbreaking producer, label exec and video trendsetter Missy “Misdemeanor” Elliott holds the record for most platinum albums by a woman rapper. Elliott forged new paths for women in the music industry and beyond by unapologetically owning her body, her sexual desires, and her Blackness."
Rage Against the Machine,2023,Performer,ICE-T,"Rage Against the Machine broke in the early ‘90s, unleashing a potent, confrontational blend of experimental metal, hard funk rhythms and biting, politically charged rap. With warrior energy, they railed against corporate control, political corruption, and systemic injustice. Tom Morello’s novel guitar sonics, plus Zach de la Rocha’s uncompromising lyrics, and the wallop and groove of Tim Commerford and Brad Wilk reshaped rock activism for the new millennium."
Sheryl Crow,2023,Performer,Laura Dern,"Sheryl Crow’s blend of rock, pop, and country helped define both the ‘90s singer-songwriter revival, and the rise of long-silenced female voices. With powerful pipes capable of both delicate intimacy and raw soul, she delivered material encompassing introspection, humor, desire and longing. A political activist, Crow frequently appeared at benefit concerts and has been embraced by diverse audiences – her Americana sound growing a global fanbase."
The Spinners,2023,Performer,New Edition and more,"The Spinners fused Motown roots with a Philly soul sound, thriving on both the R&B and pop charts. With producer/songwriter Thom Bell, the quintet perfected a blend of silky harmony, dance grooves, lush orchestration and, most importantly, classic, unforgettable songs with emotional depth. Bell wrote for their distinctive voices, as individuals and a fivesome, helping them score hit after '70s hit."
Willie Nelson,2023,Performer,Dave Matthews,"Willie Nelson is a unique American cultural icon, a celebrated performer, activist and innovator unbound by the fences of categorization. After six decades as an artist, his synthesis of traditional country, jazz, blues, rock and folk continues to win hearts. As both songwriter and interpreter, he has significantly elevated the form. Beyond the stage, his commitments to veterans, family farms and cannabis culture continue, as do his timeless songs."
A Tribe Called Quest,2024,Performer,Dave Chappelle,"A Tribe Called Quest altered the landscape of hip-hop, introducing Afrocentric themes, jazz and soul samples and, through the Native Tongues collective,  a deep sense of community to the genre. Their spirited, thoughtful wordplay, broad perspectives and elastic textures offered an alternative to gangsta rap. Balancing a mischievous sense of fun with sly social commentary, they influenced a generation of producers and lyricists, opening up new possibilities in hip-hop."
Alexis Korner,2024,Musical Influence,keith richards,"Through his mentorship of fledgling British blues musicians like Keith Richards, Charlie Watts, Mick Jagger and Eric Clapton, Alexis Korner earned the title “Father of English Blues.” His band Blues Incorporated combined jazz, blues and R&B, and offered a template for aspiring musicians, while his legendary jam sessions and club nights fostered a thriving community of aficionados and players, all of which impacted ‘60s rock & roll immeasurably."
Big Mama Thornton,2024,Musical Influence,Brittany Howard,"Willie Mae “Big Mama” Thornton’s defiantly eclectic music mixed blues, gospel, R&B and sharp storytelling. With her raw, unadorned voice and transgressive masculine wardrobe, she challenged gender norms and broke barriers for women. Her original 1953 recording of “Hound Dog” laid the groundwork for rock & roll. Her powerful renderings of pain and resilience inspired future icons like Tina Turner, Janis Joplin and countless others."
Cher,2024,Performer,Zendaya,"Pop’s enduring icon – and the only woman with No. 1 hits across seven decades. With her distinctive contralto voice, Cher emerged in the ‘60s alongside partner Sonny Bono, soon going solo and mastering folk-pop, rock, disco, and electropop. The fearless fashion maven has earned a reputation as a multi-talented performer, captivating film, TV, and concert audiences. Boldly reinventing herself over the decades, she continues to inspire."
Dave Matthews Band,2024,Performer,Julia Roberts,"Dave Matthews Band not only pioneered a new brand of rock, incorporating jazz, folk, offbeat melody and highwire improvisation, they created a sustaining grassroots fan community who swapped cassettes, followed them on tour and became family. Even as this band of highly skilled players broke through to the mainstream, their distinctive style remained, their authenticity undiminished. They shaped jam-band culture for the new millennium and beyond."
Dionne Warwick,2024,Musical Excellence,Teyana Taylor,"With a unique contralto, impeccable phrasing and technical precision, Dionne Warwick conveyed a breathtaking range of emotion. Her historic collaboration with Burt Bacharach and Hal David delivered elegant sophistication to the charts, and broadened the palette of pop. Over decades, she brought elements of jazz, R&B, gospel and soul to the mainstream, inspiring many a diva. Beyond music, her tireless advocacy continues to resonate across generations."
Foreigner,2024,Performer,Sammy Hagar,"With their distinctive fusion of crunching riffs and infectiously catchy hooks , Foreigner proved a band could rock hard and rise to the top of the pop charts. Their potent synthesis of gritty American attitude and classic British melodicism, plus their winning way with an emotional rock ballad, ensured an enduring legacy. Generations of fans and ambitious rockers alike continue to find inspiration in this Anglo-Yank quintet’s perennial radio hits."
Jimmy Buffett,2024,Musical Excellence,James Taylor,"By blending folksy storytelling, country charm and Caribbean rhythms, Jimmy Buffett birthed the “Gulf & Western” style and launched a lifestyle brand. With themes focusing on escape, reflection and the sea, his infectious songs and jubilant concerts resonated with a legion of fans who proudly identified as a community of “parrotheads.” Beyond music, he built an empire of restaurants, resorts and clothing, all promoting adventure and fun."
John Mayall,2024,Musical Influence,N/A,"John Mayall, the “Godfather of British Blues,” was a major influence on post-’60s rock & roll. His band the Bluesbreakers sired Eric Clapton, Mick Taylor, Peter Green and Fleetwood Mac’s rhythm section, among others. His version of blues incorporated rock elements, while keeping the core and the spirit authentically gritty and lowdown. Through his stewardship, the global audience for blues, and the palette for rock, expanded considerably."
Kool & the Gang,2024,Performer,Chuck D,"With a style encompassing jazz, soul, R&B and pop, Kool & the Gang brought a distinctive groove to the mainstream, their infectious tunes propelled by horn-laden funk and seamless harmonies. Offering melodic and rhythmic hooks, they're one of the most sampled acts in hip-hop. Their crossover success influenced artists like Prince and Bruno Mars. The band's party anthems remain staples at celebratory events."
MC5,2024,Musical Excellence,Tom Morello,"The MC5 burst from late ‘60s Detroit with a volatile combo of pummeling garage rock, psychedelic experimentation, jazz-style improvisation and the radical politics of revolution. Their elemental, aggressive delivery created the template for punk, inspiring the Clash, the Ramones and countless other disaffected, energetic rockers. Beyond music, the band’s artful defiance crystallized the urgency of the era, offering an uncompromising means of expression that still resonates."
Mary J. Blige,2024,Performer,Dr. Dre & Method Man,"Fusing gospel-inspired vocals with hip-hop swagger , nine-time Grammy-winner Mary J. Blige, the “Queen of Hip-Hop Soul,” created a new R&B template. Embracing both vulnerability and strength, her songs resonated with legions of fans, particularly women, lighting the way for fellow artists to express deeper aspects of themselves within hip-hop culture. Beyond music, she inspired fashion, film and steadfast activism."
Norman Whitfield,2024,Musical Excellence,Jimmy Jam,"Producer-songwriter Norman Whitfield’s pioneering “psychedelic soul” ushered Motown into the counterculture and beyond. He broadened the label’s reach with incisive social commentary wrapped up in dancefloor grooves, often extended for maximum impact. His groundbreaking productions featured edgy rock attitude fused with R&B rhythms, all while retaining a canny pop sensibility. His expansive work set in motion the future of funk and created a vast sampling library for hip-hop."
Ozzy Osbourne,2024,Performer,Jack Black,"Ozzy Osbourne co-pioneered and repeatedly reshaped heavy metal. As a solo performer, he brazenly plunged into shadowy themes, articulating darkness as no prior artist had. An unabashedly theatrical lead singer, he expanded the possibilities of rock performance. His solo material cracked the Top 40, his (and wife Sharon’s) Ozzfest became the most successful metal festival ever, and his reality TV work brought millions into the metal fold."
Peter Frampton,2024,Performer,Roger Daltrey,"With landmark ‘76 double album Frampton Comes Alive, Peter Frampton brought guitar mastery to the mainstream, his blues/jazz virtuosity wrapped in melodic songcraft, an aurally arresting talk box, and a reluctant pop-idol image. He proved the combination of a well-honed stage show, technical brilliance and catchy tunes could sell millions, influencing generations of performers."
Suzanne de Passe,2024,Ahmet Ertegun Award,Berry Gordy,Suzanne de Passe paved the way for women in the music business as one of the first leading female executives.
Bad Company,2025,Performer,Mick Fleetwood,"With members from Mott the Hoople, King Crimson and Free, and signed to Led Zeppelin’s Swan Song imprint, Bad Company were one of rock’s first and most successful supergroups, both live and on record. By combining arena-ready blues-rock swagger with Top 40 hits, they distinguished themselves from their peers. The foursome’s straightforward, no-frills approach inspired rockers to embrace melody over bombast, songs over jams, tight, short solos and unforgettable choruses."
Carol Kaye,2025,Musical Excellence,N/A,"Though rarely in the spotlight, bassist Carol Kaye shaped the sound of American pop music. As the bedrock of the ‘60s and ‘70s L.A. studio scene, her distinctive touch redefined the bass as both rhythmic anchor and expressive, counter-melodic voice. Her work proved invaluable to over 10,000 recordings, including iconic hits, film scores and TV themes. A pioneering woman in a male-dominated field, she significantly elevated the role of bassist."
Chubby Checker,2025,Performer,N/A,"Born Ernest Evans in Spring Gully, South Carolina, Chubby Checker became the king of the ‘60s dance crazes, with his iconic “The Twist” reaching the No. 1 spot twice and sparking a worldwide, multigenerational phenomenon. Checker parlayed that unprecedented success into further hits like “The Fly” and “Limbo Rock,” hitting the charts 32 times before ‘66. He broadened rock & roll’s audience beyond teenagers and remained active into the new millennium."
Cyndi Lauper,2025,Performer,Chappell Roan,"With a four-octave voice, quirky glam style and defiant individuality, Cyndi Lauper shaped the ‘80s and beyond. Her debut She’s So Unusual yielded four Top 5 hits, while her wildly popular videos mixed humor and vulnerability. Constantly evolving, she enjoyed a spectacular second act with a Tony-winning Broadway score for Kinky Boots. As a steadfast LGBTQIA+ advocate, Lauper is an enduring icon, influencing artists from Chappell Roan to Lady Gaga."
Joe Cocker,2025,Performer,Brian Adams,"Sheffield, England’s own Joe Cocker set a new standard for rock interpretation, redefining classics like “The Letter” and “With a Little Help From My Friends” with his own indelible stamp. Gifted with a powerful, gritty voice and a fearless, impassioned performing style, his reputation as a riveting performer lasted decades. As a recording artist, he repeatedly reinvented himself, never leaving the airwaves. He was awarded an OBE in 2007."
Lenny Waronker,2025,Ahmet Ertegun Award,N/A,"Producer, label president, A&R head, and tastemaker Lenny Waronker pioneered the artist-first approach in the music business. Prioritizing creativity and development over quick financial returns and commercial hits, he redefined the role of the record label, shaping DreamWorks and Warner Brothers into musician-friendly, collaborative havens. Significantly responsible for the careers of Randy Newman, Rickie Lee Jones, R.E.M., and Prince, he elevated pop music in the culture."
Nicky Hopkins,2025,Musical Excellence,N/A,"Classically trained session pianist Nicky Hopkins brought his musical ingenuity, impeccable taste and feel to over 250 albums, including classics from the Rolling Stones, the Who, the Kinks, the Beatles and Joe Cocker. Equipped both technically and personally to work in any idiom – blues, rock, psychedelia, soul – he added texture and emotional depth to hundreds of songs, broadening the palette of rock & roll and influencing generations of keyboardists."
OutKast,2025,Performer,Donald Glover,"In bringing their vision of the “Dirty South” to hip-hop, OutKast significantly broadened the genre’s palette. Relentlessly innovative, ATL’s own André 3000 and Big Boi concocted a unique blend of funk, soul, jazz, rock and Afrofuturism, weaving in compelling storytelling, delivered with astonishing vocal skill. Embraced critically, and wildly successful commercially, they are one of the few hip-hop acts to win the Album of the Year Grammy. Their cultural influence is incalculable."
Salt N Pepa,2025,Musical Influence,Missy Elliott,"As the first major all-female rap group to go both gold and platinum, and the first to win a Grammy, Salt-N-Pepa changed the male-dominated game. With a unique, flamboyant style and outspoken, feminine-centric messages, all woven into an edgy-yet-accessible hip-hop/R&B blend, they redefined women’s roles in rap. Unafraid of touchy issues like AIDS, safe sex and female sexual desire, they set a template for countless future rappers."
Soundgarden,2025,Performer,Jim Carrey,"With their pioneering fusion of punk, metal and experimental edge, Soundgarden kicked off the Seattle-based grunge movement, breaking ground for Nirvana and Pearl Jam, among others. The first of the genre’s bands on a major label, they achieved global success with the aggressive Badmotorfinger and multiplatinum, emotionally deep Superunknown. Their reputation as an untouchable live act with compelling, radio-friendly albums broadened the possibilities of modern rock."
The White Stripes,2025,Performer,Iggy Pop,"The White Stripes reinvigorated rock & roll by returning it to its primal blues roots, proving that a duo with defiant energy, catchy riffs, melodic savvy and unique style could captivate as much, if not more, than a large, complex ensemble. Both live and on record, mastermind multi-instrumentalist and vocalist Jack White and minimalist drummer Meg White crafted a sound greater than the sum of its parts, inspiring artists from multiple genres."
Thom Bell,2025,Musical Excellence,N/A,"Jamaican-born, Philadelphia-raised producer, arranger and songwriter Thom Bell was a key architect of the Philly sound. Alongside songwriters Kenny Gamble and Leon Huff, he broadened the possibilities of R&B. Using his classical training, he crafted lush, orchestral arrangements and inventive vocals and rhythms for his songs, resulting in hits for seminal groups like the Spinners, the Delfonics and the Stylistics. His legacy can be heard in disco, modern R&B and hip-hop."
Warren Zevon,2025,Musical Influence,David Letterman,"Warren Zevon was a songwriter’s songwriter, revered for the gallows humor, acid wit and candid tenderness of his lyrics. A classically trained pianist and skilled guitarist, he wrote jingles, pop ditties and masterpieces. His songs, covered by a wide array of esteemed artists, encompassed rock & roll, country, folk and blues. Critically acclaimed, he counted among his fans Dylan and Springsteen, and he expanded the boundaries of American popular song."
